koi_fpflag_nt,koi_fpflag_co,koi_fpflag_ss,koi_model_snr,koi_fpflag_ec,koi_impact
0,0,0,56.4,0,0.573
0,0,1,1300.0,0,0.501
0,0,1,296.9,0,1.28
0,1,1,138.2,1,1.121
0,0,0,107.4,0,0.17300000000000001
0,0,0,37.8,0,0.053
0,0,1,389.0,0,0.733
0,0,0,166.0,0,0.6920000000000001
0,0,0,39.3,0,0.047
0,0,0,21.3,0,0.258
0,0,0,70.8,0,0.524
0,1,0,50.3,0,0.941
0,1,0,110.2,1,1.2409999999999999
0,0,0,568.2,0,0.736
0,0,0,86.6,0,0.773
0,0,0,14.7,0,0.706
0,0,0,117.2,0,0.7979999999999999
0,0,1,323.4,0,0.7090000000000001
0,0,1,1671.1,0,0.377
0,0,1,117.2,0,1.276
0,0,0,266.3,0,0.008
0,0,0,49.1,0,0.013999999999999999
0,0,0,35.1,0,0.235
0,0,0,19.9,0,0.746
0,0,0,50.4,0,0.196
0,0,0,19.4,0,0.379
0,0,0,20.9,0,0.7
0,1,1,50.5,1,1.178
0,0,0,38.4,0,0.3
0,0,0,22.8,0,0.004
0,0,1,269.7,0,1.2590000000000001
0,0,0,482.3,0,0.644
0,0,0,99.5,0,0.045
0,0,0,35.9,0,0.9259999999999999
0,0,0,54.4,0,0.823
0,0,0,25.7,0,0.97
0,0,0,24.8,0,0.644
0,0,0,52.7,0,0.42700000000000005
0,0,0,51.7,0,0.26
0,0,0,240.6,0,0.45799999999999996
0,0,0,116.1,0,0.023
0,0,0,74.6,0,0.7909999999999999
0,0,0,748.1,0,0.782
0,0,0,160.9,0,0.527
0,1,1,122.1,0,1.266
0,0,0,62.0,0,0.6859999999999999
0,0,0,49.2,0,0.028999999999999998
0,0,0,62.6,0,0.867
0,0,0,271.8,0,0.778
0,0,0,53.0,0,0.02
0,0,0,45.5,0,0.035
0,0,0,22.6,0,0.594
0,0,0,27.4,0,0.018000000000000002
0,0,0,907.8,0,0.377
0,0,0,561.1,0,0.8809999999999999
0,0,0,59.4,0,0.348
0,0,0,355.7,0,0.035
0,0,0,10.7,0,0.9570000000000001
0,0,1,184.1,0,1.081
0,1,1,51.7,1,0.23
0,0,0,30.7,0,0.128
0,0,1,1630.4,0,0.21100000000000002
0,0,0,64.8,0,0.026000000000000002
0,0,0,86.1,0,0.196
0,0,0,37.8,0,0.38299999999999995
0,0,0,21.1,0,0.9
0,0,0,223.5,0,0.076
0,0,0,139.3,0,0.812
0,1,1,58.3,0,0.965
0,0,0,88.0,0,0.03
0,0,0,155.5,0,0.183
0,0,0,59.3,0,0.209
0,0,0,41.4,0,0.479
0,0,0,62.4,0,0.036000000000000004
0,0,0,30.5,0,0.06
0,0,0,62.8,0,0.17
0,0,0,51.8,0,0.008
0,0,1,307.5,0,0.897
0,0,0,18.5,0,0.95
0,0,0,247.9,0,0.67
0,0,0,29.2,0,0.429
0,0,0,39.7,0,0.025
0,0,0,60.8,0,0.5670000000000001
0,0,0,21.9,0,0.387
0,0,0,157.8,0,0.705
0,0,1,192.3,0,7.361000000000001
0,0,0,87.2,0,0.327
0,0,0,57.6,0,0.28600000000000003
0,0,0,14.9,0,0.706
0,1,1,76.8,1,1.2229999999999999
0,0,0,53.3,0,0.9259999999999999
0,0,0,125.6,0,0.833
